"","Natureza","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total","delegacia_id"
"35","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1246
"36","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1246
"37","TOTAL DE ESTUPRO (4)",2,2,1,1,1,0,0,1,0,1,0,2,11,1246
"38","ESTUPRO",2,0,0,1,1,0,0,0,0,0,0,1,5,1246
"39","ESTUPRO DE VULNERÁVEL",0,2,1,0,0,0,0,1,0,1,0,1,6,1246
"40","TOTAL DE ROUBO - OUTROS (1)",110,97,108,98,75,94,82,66,37,101,81,94,1.043,1246
"41","ROUBO - OUTROS",106,96,104,96,75,92,82,66,35,98,81,92,1.023,1246
"42","ROUBO DE VEÍCULO",2,3,4,4,3,0,2,1,4,3,2,1,29,1246
"43","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1246
"44","ROUBO DE CARGA",4,1,4,2,0,2,0,0,2,3,0,2,20,1246
"45","FURTO - OUTROS",241,271,318,300,292,234,286,46,66,322,281,337,2.994,1246
"46","FURTO DE VEÍCULO",8,7,5,6,11,5,6,2,4,6,6,4,70,1246
"47","HOMICÍDIO DOLOSO (2)",0,0,2,1,1,0,1,1,0,1,0,0,7,1143
"48","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,2,1,1,0,1,1,0,1,0,0,7,1143
"49","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1143
"50","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1143
"51","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,1,0,0,1,0,0,0,0,2,0,1,5,1143
"52","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1143
"53","TENTATIVA DE HOMICÍDIO",3,1,2,1,0,0,0,2,1,0,0,0,10,1143
"54","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1143
"55","LESÃO CORPORAL DOLOSA",24,28,28,33,26,37,28,20,30,31,44,21,350,1143
"56","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",13,14,9,7,15,9,7,18,10,11,9,12,134,1143
"57","LESÃO CORPORAL CULPOSA - OUTRAS",3,1,1,0,0,0,1,0,1,2,0,1,10,1143
"58","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1143
"59","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1143
"60","TOTAL DE ESTUPRO (4)",2,2,1,2,2,0,1,1,0,1,2,0,14,1143
"61","ESTUPRO",1,1,1,2,1,0,1,1,0,1,1,0,10,1143
"62","ESTUPRO DE VULNERÁVEL",1,1,0,0,1,0,0,0,0,0,1,0,4,1143
"63","TOTAL DE ROUBO - OUTROS (1)",401,583,274,259,356,311,271,268,339,418,360,289,4.129,1143
"64","ROUBO - OUTROS",400,582,274,251,355,310,269,266,339,415,357,287,4.105,1143
"65","ROUBO DE VEÍCULO",2,0,0,2,2,2,1,2,2,3,1,0,17,1143
"66","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1143
"67","ROUBO DE CARGA",1,1,0,8,1,1,2,2,0,3,3,2,24,1143
"68","FURTO - OUTROS",1.088,2.888,589,590,1.138,547,526,668,625,878,707,590,10.834,1143
"69","FURTO DE VEÍCULO",10,12,10,17,12,12,11,15,7,12,13,3,134,1143
"70","HOMICÍDIO DOLOSO (2)",0,0,0,0,0,0,1,0,0,0,1,0,2,1067
"71","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,0,0,0,0,1,0,0,0,1,0,2,1067
"72","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1067
"73","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1067
"74","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",1,0,0,0,1,0,1,0,0,1,0,0,4,1067
"75","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1067
"76","TENTATIVA DE HOMICÍDIO",0,0,0,0,0,1,1,0,0,1,0,0,3,1067
"77","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1067
"78","LESÃO CORPORAL DOLOSA",13,25,19,20,24,18,17,21,11,24,18,18,228,1067
"79","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",1,6,8,8,6,10,6,7,8,7,12,8,87,1067
"80","LESÃO CORPORAL CULPOSA - OUTRAS",1,3,1,0,1,3,0,0,0,0,0,1,10,1067
"81","LATROCÍNIO",0,0,0,0,0,0,1,0,0,0,0,0,1,1067
"82","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,1,0,0,0,0,0,1,1067
"83","TOTAL DE ESTUPRO (4)",4,1,1,3,4,1,3,3,2,0,3,3,28,1067
"84","ESTUPRO",3,1,1,3,1,1,2,0,1,0,1,1,15,1067
"85","ESTUPRO DE VULNERÁVEL",1,0,0,0,3,0,1,3,1,0,2,2,13,1067
"86","TOTAL DE ROUBO - OUTROS (1)",221,336,206,213,251,238,155,181,161,213,207,184,2.566,1067
"87","ROUBO - OUTROS",221,335,206,213,250,237,155,180,158,213,207,184,2.559,1067
"88","ROUBO DE VEÍCULO",1,0,0,0,2,0,1,3,2,3,2,0,14,1067
"89","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1067
"90","ROUBO DE CARGA",0,1,0,0,1,1,0,1,3,0,0,0,7,1067
"91","FURTO - OUTROS",532,1.524,482,446,653,597,338,325,396,567,443,431,6.734,1067
"92","FURTO DE VEÍCULO",15,16,22,16,15,21,16,32,34,37,29,15,268,1067
"93","HOMICÍDIO DOLOSO (2)",0,0,1,0,0,0,1,1,0,0,0,0,3,1015
"94","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,1,0,0,0,1,1,0,0,0,0,3,1015
"95","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1015
"96","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1015
"97","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,1,0,1,1015
"98","HOMICÍDIO CULPOSO OUTROS",1,0,0,0,0,0,0,0,0,0,0,0,1,1015
"99","TENTATIVA DE HOMICÍDIO",0,0,0,0,0,0,0,0,0,1,1,1,3,1015
"100","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,1,1,1015
"101","LESÃO CORPORAL DOLOSA",16,16,30,22,32,16,21,27,36,27,30,21,294,1015
"102","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",9,2,5,16,10,7,9,14,17,7,12,10,118,1015
"103","LESÃO CORPORAL CULPOSA - OUTRAS",2,2,0,1,1,2,8,3,1,0,2,3,25,1015
"104","LATROCÍNIO",1,0,0,0,0,0,0,0,1,0,0,0,2,1015
"105","Nº DE VÍTIMAS EM LATROCÍNIO",1,0,0,0,0,0,0,0,1,0,0,0,2,1015
"106","TOTAL DE ESTUPRO (4)",0,5,1,2,1,0,3,4,1,0,0,1,18,1015
"107","ESTUPRO",0,0,1,1,1,0,3,2,0,0,0,0,8,1015
"108","ESTUPRO DE VULNERÁVEL",0,5,0,1,0,0,0,2,1,0,0,1,10,1015
"109","TOTAL DE ROUBO - OUTROS (1)",83,114,93,84,104,102,96,103,70,103,98,78,1.128,1015
"110","ROUBO - OUTROS",83,114,91,83,104,102,94,101,70,102,98,78,1.12,1015
"111","ROUBO DE VEÍCULO",6,2,2,1,3,1,1,4,4,2,4,5,35,1015
"112","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1015
"113","ROUBO DE CARGA",0,0,2,1,0,0,2,2,0,1,0,0,8,1015
"114","FURTO - OUTROS",159,501,187,231,214,187,211,266,251,277,271,244,2.999,1015
"115","FURTO DE VEÍCULO",32,51,34,40,38,34,46,56,56,55,59,37,538,1015
"116","HOMICÍDIO DOLOSO (2)",0,1,0,0,0,0,0,0,1,0,0,0,2,983
"117","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,1,0,0,0,0,0,0,1,0,0,0,2,983
"118","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,983
"119","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,983
"120","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,1,1,0,0,1,0,0,0,0,0,0,3,983
"121","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,1,0,0,0,0,0,0,1,983
"122","TENTATIVA DE HOMICÍDIO",1,1,1,0,0,0,0,0,1,0,0,0,4,983
"123","LESÃO CORPORAL SEGUIDA DE MORTE",0,1,0,0,0,0,0,0,0,0,0,0,1,983
"124","LESÃO CORPORAL DOLOSA",24,20,34,18,29,13,21,24,21,13,18,25,260,983
"125","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",10,14,16,9,8,10,12,8,12,13,11,11,134,983
"126","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,0,1,4,0,0,1,1,1,1,9,983
"127","LATROCÍNIO",0,0,0,0,0,0,0,0,1,0,0,0,1,983
"128","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,1,0,0,0,1,983
"129","TOTAL DE ESTUPRO (4)",1,3,1,2,0,0,1,1,2,3,2,1,17,983
"130","ESTUPRO",0,2,0,1,0,0,0,0,1,1,0,0,5,983
"131","ESTUPRO DE VULNERÁVEL",1,1,1,1,0,0,1,1,1,2,2,1,12,983
"132","TOTAL DE ROUBO - OUTROS (1)",70,70,64,75,72,73,54,66,53,73,58,60,788,983
"133","ROUBO - OUTROS",67,67,62,72,72,72,53,63,52,73,57,60,770,983
"134","ROUBO DE VEÍCULO",21,22,8,24,11,10,6,7,8,5,10,5,137,983
"135","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,983
"136","ROUBO DE CARGA",3,3,2,3,0,1,1,3,1,0,1,0,18,983
"137","FURTO - OUTROS",134,117,129,141,138,150,162,148,144,143,144,147,1.697,983
"138","FURTO DE VEÍCULO",78,82,74,70,55,53,70,60,70,69,64,35,780,983
"139","HOMICÍDIO DOLOSO (2)",0,0,0,0,2,0,1,0,0,0,0,2,5,957
"140","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,0,0,2,0,1,0,0,0,0,2,5,957
"141","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,957
"142","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,957
"143","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",1,0,0,0,0,0,0,1,0,0,0,0,2,957
"144","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,957
"145","TENTATIVA DE HOMICÍDIO",2,0,0,0,1,0,0,1,1,0,0,1,6,957
"146","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,957
"147","LESÃO CORPORAL DOLOSA",12,14,21,22,20,14,11,18,13,13,19,21,198,957
"148","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",5,11,12,15,7,13,20,8,5,11,6,7,120,957
"149","LESÃO CORPORAL CULPOSA - OUTRAS",1,0,6,2,0,0,0,2,2,3,1,0,17,957
"150","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,957
"151","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,957
"152","TOTAL DE ESTUPRO (4)",2,4,1,0,1,1,3,3,0,1,2,1,19,957
"153","ESTUPRO",2,0,1,0,0,0,0,2,0,0,1,0,6,957
"154","ESTUPRO DE VULNERÁVEL",0,4,0,0,1,1,3,1,0,1,1,1,13,957
"155","TOTAL DE ROUBO - OUTROS (1)",129,104,117,127,120,93,103,119,104,119,103,108,1.346,957
"156","ROUBO - OUTROS",126,101,113,123,118,89,99,117,103,118,100,107,1.314,957
"157","ROUBO DE VEÍCULO",12,9,14,14,13,22,15,19,8,21,16,14,177,957
"158","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,957
"159","ROUBO DE CARGA",3,3,4,4,2,4,4,2,1,1,3,1,32,957
"160","FURTO - OUTROS",235,239,292,285,294,243,222,258,228,318,339,375,3.328,957
"161","FURTO DE VEÍCULO",105,67,118,88,74,76,76,80,89,87,102,66,1.028,957
"162","HOMICÍDIO DOLOSO (2)",1,1,0,2,0,0,1,0,2,1,1,0,9,934
"163","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",1,1,0,2,0,0,1,0,2,1,1,0,9,934
"164","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,934
"165","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,934
"166","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",1,0,0,0,0,0,0,0,0,0,0,0,1,934
"167","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,934
"168","TENTATIVA DE HOMICÍDIO",1,0,2,1,0,0,0,0,0,0,0,0,4,934
"169","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,934
"170","LESÃO CORPORAL DOLOSA",29,26,32,33,32,31,35,22,27,26,39,24,356,934
"171","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",11,19,21,24,14,18,19,15,18,17,13,14,203,934
"172","LESÃO CORPORAL CULPOSA - OUTRAS",1,0,1,1,2,2,2,0,2,0,2,0,13,934
"173","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,934
"174","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,934
"175","TOTAL DE ESTUPRO (4)",1,3,3,4,1,0,2,3,2,1,0,0,20,934
"176","ESTUPRO",0,1,1,0,0,0,1,2,2,0,0,0,7,934
"177","ESTUPRO DE VULNERÁVEL",1,2,2,4,1,0,1,1,0,1,0,0,13,934
"178","TOTAL DE ROUBO - OUTROS (1)",85,86,85,89,85,85,78,89,70,113,81,83,1.029,934
"179","ROUBO - OUTROS",81,82,83,87,81,84,73,81,68,112,78,82,992,934
"180","ROUBO DE VEÍCULO",4,4,6,6,6,5,2,3,5,7,5,3,56,934
"181","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,934
"182","ROUBO DE CARGA",4,4,2,2,4,1,5,8,2,1,3,1,37,934
"183","FURTO - OUTROS",261,280,287,282,275,250,254,310,349,416,391,359,3.714,934
"184","FURTO DE VEÍCULO",14,26,41,34,25,15,10,38,53,38,48,26,368,934
"185","HOMICÍDIO DOLOSO (2)",0,1,0,0,0,1,0,0,0,1,0,1,4,915
"186","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,1,0,0,0,1,0,0,0,1,0,1,4,915
"187","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,915
"188","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,915
"189","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",1,0,0,0,0,1,0,0,1,0,0,1,4,915
"190","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,915
"191","TENTATIVA DE HOMICÍDIO",1,0,0,3,0,1,0,2,0,1,0,0,8,915
"192","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,915
"193","LESÃO CORPORAL DOLOSA",14,18,28,33,27,28,20,21,27,23,17,22,278,915
"194","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",15,8,16,21,16,18,17,14,3,8,24,18,178,915
"195","LESÃO CORPORAL CULPOSA - OUTRAS",10,0,6,1,0,0,0,2,1,0,0,3,23,915
"196","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,915
"197","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,915
"198","TOTAL DE ESTUPRO (4)",3,3,1,2,1,1,2,1,1,4,1,3,23,915
"199","ESTUPRO",1,0,1,0,0,1,1,0,0,0,1,1,6,915
"200","ESTUPRO DE VULNERÁVEL",2,3,0,2,1,0,1,1,1,4,0,2,17,915
"201","TOTAL DE ROUBO - OUTROS (1)",103,85,128,107,108,99,94,90,95,117,124,120,1.27,915
"202","ROUBO - OUTROS",97,80,119,100,104,95,93,88,95,114,123,117,1.225,915
"203","ROUBO DE VEÍCULO",9,11,11,17,10,8,5,16,6,11,12,14,130,915
"204","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,915
"205","ROUBO DE CARGA",6,5,9,7,4,4,1,2,0,3,1,3,45,915
"206","FURTO - OUTROS",282,257,272,247,257,223,229,217,364,306,255,274,3.183,915
"207","FURTO DE VEÍCULO",47,48,44,69,76,60,63,45,40,70,45,31,638,915
"208","HOMICÍDIO DOLOSO (2)",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"209","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"210","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"211","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"212","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"213","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"214","TENTATIVA DE HOMICÍDIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"215","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"216","LESÃO CORPORAL DOLOSA",0,1,0,0,0,0,0,0,0,0,0,0,1,1478
"217","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"218","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"219","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"220","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"221","TOTAL DE ESTUPRO (4)",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"222","ESTUPRO",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"223","ESTUPRO DE VULNERÁVEL",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"224","TOTAL DE ROUBO - OUTROS (1)",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"225","ROUBO - OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"226","ROUBO DE VEÍCULO",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"227","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"228","ROUBO DE CARGA",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"229","FURTO - OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"230","FURTO DE VEÍCULO",0,0,0,0,0,0,0,0,0,0,0,0,0,1478
"231","HOMICÍDIO DOLOSO (2)",2,0,0,0,1,0,0,0,1,0,0,0,4,1275
"232","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",2,0,0,0,2,0,0,0,1,0,0,0,5,1275
"233","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1275
"234","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1275
"235","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,3,0,0,2,0,1,2,0,2,2,12,1275
"236","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1275
"237","TENTATIVA DE HOMICÍDIO",0,0,0,2,1,1,0,1,0,0,0,0,5,1275
"238","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1275
"239","LESÃO CORPORAL DOLOSA",32,25,43,31,36,33,32,28,38,26,39,33,396,1275
"240","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",16,19,16,20,17,18,20,24,17,22,13,14,216,1275
"241","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,1,2,2,0,2,0,2,2,2,13,1275
"242","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1275
"243","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1275
"244","TOTAL DE ESTUPRO (4)",2,5,1,4,3,5,0,1,2,1,3,2,29,1275
"245","ESTUPRO",0,2,0,2,1,1,0,0,1,0,1,1,9,1275
"246","ESTUPRO DE VULNERÁVEL",2,3,1,2,2,4,0,1,1,1,2,1,20,1275
"247","TOTAL DE ROUBO - OUTROS (1)",114,103,142,111,125,121,104,137,114,132,131,96,1.43,1275
"248","ROUBO - OUTROS",112,102,132,104,121,118,97,132,110,128,130,92,1.378,1275
"249","ROUBO DE VEÍCULO",23,20,23,33,34,34,15,21,20,25,22,25,295,1275
"250","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1275
"251","ROUBO DE CARGA",2,1,10,7,4,3,7,5,4,4,1,4,52,1275
"252","FURTO - OUTROS",134,132,141,172,165,154,216,236,180,171,152,162,2.015,1275
"253","FURTO DE VEÍCULO",88,73,57,75,71,53,60,71,68,88,67,51,822,1275
"254","HOMICÍDIO DOLOSO (2)",3,0,0,0,0,1,1,0,0,0,0,0,5,1265
"255","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",3,0,0,0,0,2,1,0,0,0,0,0,6,1265
"256","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1265
"257","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1265
"258","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,1,0,0,0,0,0,2,0,1,4,1265
